100573	12079	en	David Roberts	The Pueblo Revolt	-	-	-	Copyright © 2008 by Spellman Enterprises, Inc.	-	Simon & Schuster	9781416595694
	-	David Roberts	2008
272154	15595	en	Ariel Sharon	Warrior	Text	-	-	All rights reserved	-	Touchstone	9780743225663	576 Pages	-	2001
70194	6366	en	Berger, Joan	Teaching Grammar	-	-	-	Copyright © 2010 Taylor & Francis	-	Taylor and Francis	9781317926801	-	calibre (0.9.42) [http://calibre-ebook.com]	0101-01-01T00:00:00+00:00
181115	12636	en	Mark Bowden	Doctor Dealer	Text	-	-	All rights reserved.	-	Grove Press	9781555846060	353 Pages	-	2001
46616	7189	en	Murray N. Rothbard	War Collectivism	Non-fiction	-	-	All Rights Reserved	-	Ludwig von Mises Institute	URN:ISBN:978-1-61016-548-8	-	Amnet Systems	2012
140383	13333	en	Brysk, Alison	Global Good Samaritans	Text	-	-	All Rights Reserved	-	Oxford University Press, USA	9780195381580	300 Pages	-	2009
9	7	en	Lisa Gardner	Sight Words Level 3	-	-	-	-	-	Reagent Press	AWP-96F72F93-35E9-49CC-A011-3130CF60F96D	-	-	-
119222	7693	en	Johnstone, William W.	A Big Sky Christmas	-	-	-	-	-	Pinnacle	B00CSX8UQ8	-	calibre (1.12.0) [http://calibre-ebook.com]	2013-10-29T07:00:00+00:00
285375	18928	en	Homa Katouzian	The Persians	-	-	-	Copyright © 2009 Homa Katouzian	-	Yale University Press	978-0-300-16932-4	-	-	-
61398	11055	en	Dave Eggers	Created in Darkness by Troubled Americans	-	Fiction	-	McSweeney’s	-	Knopf Doubleday Publishing Group	9781400043316	ePub	-	2004-08-10
141596	14261	en	Pierre Lamarche, David Sherman, Max Rosenkrantz	Reading Negri	-	-	-	© 2011 by Carus Publishing Company	-	Open Court	9780812697407	-	-	2011-03-14
12953	2422	en	Starr Casas	Reading With Old Style Conjure Cards	-	-	-	-	-	Pendraig Publishing	B00GWTV2TQ	-	calibre (1.47.0) [http://calibre-ebook.com]	2013-11-23T23:00:00+00:00
68964	8191	en	Daniel Keyes	Algernon, Charlie, and I	-	-	http://www.hmhco.com/	Please read the legal notice included in this e-book and/or check the copyright status in your country.	-	Houghton Mifflin Harcourt	urn:uuid:0021E421-6CCD-1014-B878-DC5200C3E571	-	-	-
71023	9906	en	Tavis Smiley	Death of a King	-	History / Modern / 20th Century, History / United States / 20th Century, Biography & Autobiography / Historical, Biography & Autobiography / Political, Biography & Autobiography / Religious, Biography & Autobiography / Social Activists	-	Copyright © 2014 by Tavis Smiley	-	Little, Brown and Company	9780316332750	-	-	2014-09-09
69602	10017	en	Stephenson, Neal	Twelve Tomorrows - Visionary stories of the near future inspired by today's technologies	-	-	-	-	-	MIT Technology Review	30d448f0-3205-4c4f-8c31-7c721171a1a6	-	calibre (1.48.0) [http://calibre-ebook.com]	2013-10-31T20:00:00+00:00
118241	11805	en	Robert Crease	A Brief Guide to the Great Equations	Text	General	URN:ISBN:978-1-4721-0017-7	All rights reserved	-	Robinson	URN:ISBN:978-1-4721-0017-7	320 pages	calibre (0.9.6) [http://calibre-ebook.com]	2012-05-17T00:00:00+00:00
