153614	12272	fr-FR	Jules Verne	Un capitaine de quinze ans	-	Géographie, tourisme	-	Copyright © 2015-08-31 Ilivri	-	ILIVRI	id02909	epub	Jules Verne	2015-08-31
28816	4298	fr-FR	Prosper Mérimée	La Double Méprise	-	Romans	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	9782335062946	epub	Prosper Mérimée	2015-02-27
34602	5538	fr-FR	Charles Baudelaire	Baudelaire Dufaÿs - Salon de 1846	-	Documents et essais	-	Copyright © 2014-10-31 Ilivri	-	ILIVRI	9782335046601	epub	Charles Baudelaire	2014-10-31
55503	8197	fr-FR	J.-H. Rosny aîné	Nymphée	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012972	epub	Joseph Henri Honoré Boex	2014-07-21
14197	3540	fr-FR	Emile Verhaeren	Flamandes - Poésies	-	Poésie	-	Copyright © 2015-08-25 Ilivri	-	ILIVRI	id02921	epub	Emile Adolphe Gustave Verhaeren	2015-08-25
10786	3143	fr-FR	Paul Verlaine	 Poèmes Saturniens	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335046540	epub	-	2015
877666	29040	fr-FR	Alexandre Dumas	Le Vicomte de Bragelonne	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335046151	epub	Alexandre Dumas	2014-07-21
90204	10665	fr-FR	Georges Rodenbach	Le Carillonneur	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012927	epub	Georges Rodenbach	2014-07-21
121650	10656	fr-FR	Honoré de Balzac	Les Petits Bourgeois - Scènes de la vie parisienne – Tome II	-	Romans	-	Copyright © 2015-06-03 Ilivri	-	ILIVRI	id01836	epub	Honoré de Balzac	2015-06-03
58997	6939	fr-FR	Prosper Mérimée	Colomba	-	Nouvelles, contes	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335003598	epub	Prosper Mérimée	2014-07-21
37292	6301	fr-FR	Jean de La Fontaine	Contes et nouvelles - Tome III	-	Nouvelles, contes	-	Copyright © 2015-08-25 Ilivri	-	ILIVRI	id02630	epub	Jean de La Fontaine	2015-08-25
8634	1769	fr-FR	Stendhal	Le chevalier de Saint-Ismier	-	Romans	-	Copyright © 2014-09-19 Ilivri	-	ILIVRI	9782335003994	epub	Henri Beyle	2014-09-19
29988	3946	fr-FR	Hugo Victor	Hernani ou l'Honneur castillan - Drame	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335002577	epub	-	2014
122951	10470	fr-FR	Gaston Leroux	Le Parfum de la dame en noir	-	Policier, mystère	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007992	epub	Gaston Leroux	2014-07-21
25494	2748	fr-FR	Pierre Carlet de Marivaux	Les Fausses Confidences	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007770	epub	Pierre Carlet de Marivaux	2014-07-21
59020	8487	fr-FR	Honoré de Balzac	La Vieille fille - Scènes de la vie de province	-	Nouvelles, contes	-	Copyright © 2015-03-05 Ilivri	-	ILIVRI	id02288	epub	Honoré de Balzac	2015-03-05
70696	8437	fr-FR	Pierre Loti	Ramuntcho	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335003437	epub	Pierre Loti	2014-07-21
41328	7143	fr-FR	Jean de La Fontaine	Contes et nouvelles - Tome IV	-	Nouvelles, contes	-	Copyright © 2015-08-25 Ilivri	-	ILIVRI	id02631	epub	Jean de La Fontaine	2015-08-25
80754	9958	fr-FR	Prosper Mérimée	Mémoires historiques	-	Biographies, mémoires	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	9782335062953	epub	Prosper Mérimée	2015-02-27
44071	5777	fr-FR	Jules Renard	Poil de Carotte	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335003772	epub	Jules Renard	2014-07-21
139259	11783	fr-FR	Guy de Maupassant	Bel Ami	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335005646	epub	Guy de Maupassant	2014-07-21
